"player","season","team","s_c","pos","gp","g","a","p","x","pim","p_gp","evg","evp","ppg","ppp","shg","shp","otg","gwg","s","s_percent","toi_gp","fow_percent"
"Carter Rowney",20212022,"DET","R","C",22,2,2,4,-3,0,0.18,2,3,0,0,0,1,0,0,11,18.2,"10:43",43.4
"Justin Danforth",20212022,"CBJ","R","R",13,2,2,4,-1,0,0.31,2,4,0,0,0,0,0,0,21,9.5,"10:51",61.3
"Jonas Rondbjerg",20212022,"VGK","L","R",15,2,2,4,3,2,0.27,2,4,0,0,0,0,0,0,12,16.7,"10:10",0
"Adam Ruzicka",20212022,"CGY","L","C",11,2,2,4,2,4,0.36,2,4,0,0,0,0,0,0,15,13.3,"9:36",46.4
"Emil Bemstrom",20212022,"CBJ","R","C",13,2,2,4,-1,2,0.31,2,4,0,0,0,0,0,1,22,9.1,"10:05",NA
"Arttu Ruotsalainen",20212022,"BUF","L","C",18,2,2,4,-1,6,0.22,2,4,0,0,0,0,0,0,23,8.7,"11:53",42.5
"Kyle Turris",20212022,"EDM","R","C",22,1,3,4,-5,4,0.18,1,4,0,0,0,0,0,0,21,4.8,"8:48",57.1
"Jordie Benn",20212022,"MIN","L","D",24,1,3,4,-2,8,0.17,1,4,0,0,0,0,0,0,22,4.6,"15:14",NA
"Calvin de Haan",20212022,"CHI","L","D",42,1,3,4,-15,10,0.1,1,4,0,0,0,0,0,0,60,1.7,"19:20",NA
"Greg McKegg",20212022,"NYR","L","C",27,1,3,4,-6,4,0.15,1,3,0,0,0,1,0,0,14,7.1,"11:13",47.7
"Dylan DeMelo",20212022,"WPG","R","D",36,1,3,4,2,12,0.11,0,3,0,0,1,1,0,0,36,2.8,"16:09",NA
"Buddy Robinson",20212022,"ANA","R","R",21,1,3,4,3,10,0.19,1,4,0,0,0,0,0,0,24,4.2,"9:33",0
"Patrick Brown",20212022,"PHI","R","C",20,1,3,4,-3,0,0.2,1,4,0,0,0,0,0,0,26,3.9,"11:58",57.6
"Dakota Joshua",20212022,"STL","L","C",18,1,3,4,4,14,0.22,1,4,0,0,0,0,0,1,15,6.7,"8:33",53.2
"Travis Dermott",20212022,"TOR","L","D",32,1,3,4,6,8,0.13,1,4,0,0,0,0,0,1,26,3.9,"14:23",NA
"Caleb Jones",20212022,"CHI","L","D",22,1,3,4,2,4,0.18,1,3,0,1,0,0,1,1,23,4.4,"14:04",NA
"Gabriel Carlsson",20212022,"CBJ","L","D",18,1,3,4,2,2,0.22,1,4,0,0,0,0,0,0,7,14.3,"12:10",NA
"Jake Leschyshyn",20212022,"VGK","L","C",20,1,3,4,0,6,0.2,1,4,0,0,0,0,0,0,18,5.6,"11:47",43.4
"Robin Salo",20212022,"NYI","L","D",18,1,3,4,-4,4,0.22,1,3,0,1,0,0,0,0,22,4.6,"17:03",NA
"Nils Lundkvist",20212022,"NYR","R","D",25,1,3,4,4,0,0.16,0,2,1,2,0,0,0,0,32,3.1,"13:56",NA
"Connor Dewar",20212022,"MIN","L","C",14,1,3,4,-3,23,0.29,1,3,0,1,0,0,0,1,20,5,"9:33",46.2
"Reese Johnson",20212022,"CHI","R","C",18,1,3,4,-3,7,0.22,1,4,0,0,0,0,0,0,11,9.1,"9:59",46.4
"Joel Kiviranta",20212022,"DAL","L","L",35,1,3,4,-4,10,0.11,1,4,0,0,0,0,0,0,35,2.9,"9:34",0
"Cole Perfetti",20212022,"WPG","L","C",12,1,3,4,-1,0,0.33,1,3,0,1,0,0,0,0,16,6.3,"13:46",0
"Zdeno Chara",20212022,"NYI","L","D",36,0,4,4,4,64,0.11,0,4,0,0,0,0,0,0,43,0,"18:41",NA
"Kris Russell",20212022,"EDM","L","D",20,0,4,4,6,4,0.2,0,4,0,0,0,0,0,0,19,0,"15:15",NA
"Ryan Murray",20212022,"COL","L","D",22,0,4,4,-2,2,0.18,0,3,0,0,0,1,0,0,14,0,"14:12",NA
"Slater Koekkoek",20212022,"EDM","L","D",19,0,4,4,2,16,0.21,0,4,0,0,0,0,0,0,11,0,"11:10",NA
"Chad Ruhwedel",20212022,"PIT","R","D",42,0,4,4,1,2,0.1,0,4,0,0,0,0,0,0,43,0,"15:26",NA
"Mark Friedman",20212022,"PIT","R","D",12,0,4,4,2,8,0.33,0,4,0,0,0,0,0,0,11,0,"13:33",NA
"Sammy Blais",20212022,"NYR","L","L",14,0,4,4,3,17,0.29,0,4,0,0,0,0,0,0,17,0,"13:28",20
"Mitchell Stephens",20212022,"DET","R","C",16,0,4,4,-5,4,0.25,0,4,0,0,0,0,0,0,13,0,"12:00",48.3
"Cam Dineen",20212022,"ARI","L","D",14,0,4,4,-5,0,0.29,0,4,0,0,0,0,0,0,18,0,"14:18",NA
"Cal Foote",20212022,"TBL","R","D",32,0,4,4,1,13,0.13,0,4,0,0,0,0,0,0,31,0,"14:06",NA
"Urho Vaakanainen",20212022,"BOS","L","D",13,0,4,4,1,4,0.31,0,4,0,0,0,0,0,0,14,0,"19:10",NA
"William Eklund",20212022,"SJS","L","C",9,0,4,4,-3,2,0.44,0,1,0,3,0,0,0,0,8,0,"14:20",37.5
"Jujhar Khaira",20212022,"CHI","L","L",27,3,0,3,-4,13,0.11,3,3,0,0,0,0,0,0,32,9.4,"13:36",52.5
"Gerry Mayhew",20212022,"PHI","R","C",12,3,0,3,-3,8,0.25,3,3,0,0,0,0,0,0,17,17.7,"12:05",50
"Evander Kane",20212022,"EDM","L","L",3,2,1,3,5,0,1,2,3,0,0,0,0,0,0,9,22.2,"17:54",0
"Austin Watson",20212022,"OTT","R","L",28,2,1,3,-6,51,0.11,2,3,0,0,0,0,0,0,41,4.9,"12:31",22.2
"Liam O'Brien",20212022,"ARI","L","C",32,2,1,3,3,94,0.09,2,3,0,0,0,0,0,0,25,8,"9:13",44.4
"Haydn Fleury",20212022,"SEA","L","D",25,2,1,3,-3,6,0.12,2,3,0,0,0,0,0,1,32,6.3,"16:40",NA
"Max Willman",20212022,"PHI","L","C",26,2,1,3,-6,14,0.12,2,3,0,0,0,0,0,0,35,5.7,"11:47",40
"Adam Brooks",20212022,"MTL,VGK","L","C",11,2,1,3,2,2,0.27,2,3,0,0,0,0,0,2,5,40,"10:51",39.6
"Jeffrey Viel",20212022,"SJS","L","L",14,2,1,3,1,46,0.21,2,3,0,0,0,0,0,0,15,13.3,"8:57",25
"Kristian Vesalainen",20212022,"WPG","L","L",38,2,1,3,-2,6,0.08,2,3,0,0,0,0,0,0,34,5.9,"8:57",0
"Calen Addison",20212022,"MIN","R","D",9,2,1,3,0,0,0.33,2,3,0,0,0,0,0,0,12,16.7,"13:40",NA
"Mason McTavish",20212022,"ANA","L","C",9,2,1,3,3,2,0.33,2,2,0,1,0,0,0,1,12,16.7,"13:05",0
"Robert Bortuzzo",20212022,"STL","R","D",37,1,2,3,4,24,0.08,1,3,0,0,0,0,0,0,24,4.2,"14:08",NA
"Matt Martin",20212022,"NYI","L","L",31,1,2,3,0,40,0.1,1,3,0,0,0,0,0,0,33,3,"11:22",50
"Tyler Johnson",20212022,"CHI","R","C",8,1,2,3,-6,10,0.38,1,1,0,2,0,0,0,0,11,9.1,"14:26",58.1
"Logan Shaw",20212022,"OTT","R","R",17,1,2,3,-3,2,0.18,1,3,0,0,0,0,0,0,17,5.9,"9:23",50.4
"Josh Leivo",20212022,"CAR","R","L",6,1,2,3,2,2,0.5,1,3,0,0,0,0,0,0,10,10,"9:22",NA
"Olli Maatta",20212022,"LAK","L","D",32,1,2,3,7,4,0.09,1,3,0,0,0,0,0,0,31,3.2,"17:48",NA
"Kurtis MacDermid",20212022,"COL","L","D",32,1,2,3,4,56,0.09,1,3,0,0,0,0,0,0,27,3.7,"7:27",NA
"Kyle Burroughs",20212022,"VAN","R","D",31,1,2,3,-5,26,0.1,1,3,0,0,0,0,0,0,31,3.2,"13:04",NA
"Tucker Poolman",20212022,"VAN","R","D",39,1,2,3,3,12,0.08,1,3,0,0,0,0,0,0,47,2.1,"17:19",NA
"John Hayden",20212022,"BUF","R","C",37,1,2,3,-4,40,0.08,1,3,0,0,0,0,0,0,48,2.1,"11:23",28.6
"Michael McCarron",20212022,"NSH","R","R",23,1,2,3,2,42,0.13,1,3,0,0,0,0,0,0,23,4.4,"9:30",55
"Ross Johnston",20212022,"NYI","L","L",10,1,2,3,1,4,0.3,1,3,0,0,0,0,0,0,3,33.3,"10:12",NA
"Jake Walman",20212022,"STL","L","D",19,1,2,3,3,4,0.16,1,3,0,0,0,0,0,0,23,4.4,"11:57",NA
"Sam Lafferty",20212022,"PIT,CHI","R","C",20,1,2,3,-3,12,0.15,1,3,0,0,0,0,0,0,26,3.9,"11:45",40.9
"Nick Merkley",20212022,"SJS","L","R",9,1,2,3,-2,0,0.33,1,2,0,1,0,0,0,0,7,14.3,"12:25",54.6
"Nicolas Meloche",20212022,"SJS","R","D",17,1,2,3,-6,8,0.18,1,3,0,0,0,0,0,1,15,6.7,"16:18",NA
"Dylan Gambrell",20212022,"OTT","R","C",26,1,2,3,-2,6,0.12,0,2,0,0,1,1,0,0,25,4,"12:33",47.6
"Matt Luff",20212022,"NSH","R","R",10,1,2,3,3,2,0.3,1,3,0,0,0,0,0,1,8,12.5,"8:57",100
"Zack MacEwen",20212022,"PHI","R","C",43,1,2,3,-9,51,0.07,1,3,0,0,0,0,0,1,44,2.3,"9:36",52.9
"Benoit-Olivier Groulx",20212022,"ANA","L","C",18,1,2,3,0,2,0.17,1,3,0,0,0,0,0,0,17,5.9,"11:00",45.8
"Simon Benoit",20212022,"ANA","L","D",29,1,2,3,2,9,0.1,1,3,0,0,0,0,0,0,15,6.7,"13:32",NA
"Cam York",20212022,"PHI","L","D",13,1,2,3,-4,2,0.23,1,1,0,2,0,0,0,0,14,7.1,"18:32",NA
"Braden Schneider",20212022,"NYR","R","D",10,1,2,3,0,0,0.3,1,2,0,1,0,0,0,0,10,10,"16:49",NA
"Andrej Sekera",20212022,"DAL","L","D",24,0,3,3,-2,12,0.13,0,3,0,0,0,0,0,0,18,0,"13:56",NA
"Alec Martinez",20212022,"VGK","L","D",11,0,3,3,3,4,0.27,0,3,0,0,0,0,0,0,11,0,"19:59",NA
"Kyle Clifford",20212022,"STL,TOR","L","L",12,0,3,3,-5,7,0.25,0,3,0,0,0,0,0,0,10,0,"8:34",25
"Matt Tennyson",20212022,"NSH","R","D",4,0,3,3,2,2,0.75,0,3,0,0,0,0,0,0,3,0,"12:17",NA
"Jayson Megna",20212022,"COL","R","C",20,0,3,3,-2,4,0.15,0,3,0,0,0,0,0,0,19,0,"10:18",48.3
"Danny DeKeyser",20212022,"DET","L","D",36,0,3,3,-9,12,0.08,0,3,0,0,0,0,0,0,46,0,"18:38",NA
"Josh Brown",20212022,"OTT","R","D",25,0,3,3,-4,18,0.12,0,3,0,0,0,0,0,0,21,0,"13:49",NA
"William Lagesson",20212022,"EDM","L","D",14,0,3,3,0,9,0.21,0,3,0,0,0,0,0,0,16,0,"11:32",NA
"Jakub Zboril",20212022,"BOS","L","D",10,0,3,3,1,4,0.3,0,3,0,0,0,0,0,0,13,0,"15:44",NA
"Tanner Kero",20212022,"DAL","L","C",20,0,3,3,-5,0,0.15,0,3,0,0,0,0,0,0,11,0,"9:46",61.5
"Colton White",20212022,"NJD","L","D",16,0,3,3,-2,4,0.19,0,3,0,0,0,0,0,0,12,0,"12:20",NA
"Philippe Myers",20212022,"NSH","R","D",20,0,3,3,5,10,0.15,0,3,0,0,0,0,0,0,23,0,"15:12",NA
"Jack Drury",20212022,"CAR","L","C",2,2,0,2,3,2,1,2,2,0,0,0,0,0,0,6,33.3,"15:58",80
"Paul Cotter",20212022,"VGK","L","C",6,2,0,2,1,4,0.33,2,2,0,0,0,0,0,0,10,20,"8:53",0
"Greg Pateryn",20212022,"ANA","R","D",8,1,1,2,5,10,0.25,1,2,0,0,0,0,0,0,13,7.7,"13:54",NA
"Connor Clifton",20212022,"BOS","R","D",27,1,1,2,-2,22,0.07,1,2,0,0,0,0,0,0,34,2.9,"16:20",NA
"Joel Hanley",20212022,"DAL","L","D",19,1,1,2,-3,2,0.11,1,2,0,0,0,0,0,0,6,16.7,"10:37",NA
"Dean Kukan",20212022,"CBJ","L","D",11,1,1,2,1,8,0.18,1,2,0,0,0,0,0,0,14,7.1,"15:13",NA
"Will Borgen",20212022,"SEA","R","D",15,1,1,2,-5,15,0.13,1,2,0,0,0,0,0,0,16,6.3,"14:33",NA
"Christian Wolanin",20212022,"BUF,LAK","L","D",8,1,1,2,0,2,0.25,1,2,0,0,0,0,0,0,5,20,"14:30",NA
"Josh Mahura",20212022,"ANA","L","D",15,1,1,2,-2,4,0.13,1,2,0,0,0,0,0,0,10,10,"14:04",NA
"Nikita Zaitsev",20212022,"OTT","R","D",23,1,1,2,-2,14,0.09,1,2,0,0,0,0,0,0,25,4,"18:33",NA
"Casey Mittelstadt",20212022,"BUF","L","C",7,1,1,2,-7,2,0.29,1,2,0,0,0,0,0,0,8,12.5,"14:16",43.8
"Radim Simek",20212022,"SJS","L","D",28,1,1,2,-9,6,0.07,1,2,0,0,0,0,0,0,20,5,"13:47",NA
"Parker Kelly",20212022,"OTT","L","L",11,1,1,2,-2,4,0.18,1,2,0,0,0,0,0,0,9,11.1,"10:12",0
"Kiefer Sherwood",20212022,"COL","R","L",11,1,1,2,3,0,0.18,1,2,0,0,0,0,0,1,9,11.1,"8:34",100
"Ryan Merkley",20212022,"SJS","R","D",15,1,1,2,-3,2,0.13,1,2,0,0,0,0,0,0,12,8.3,"14:57",NA
"Karson Kuhlman",20212022,"BOS,SEA","R","C",24,1,1,2,0,2,0.08,1,2,0,0,0,0,0,0,27,3.7,"9:44",0
"Riley Damiani",20212022,"DAL","R","C",7,1,1,2,0,2,0.29,1,2,0,0,0,0,0,0,10,10,"8:32",50
"Jesse Ylonen",20212022,"MTL","R","R",7,1,1,2,2,2,0.29,1,2,0,0,0,0,0,0,8,12.5,"12:54",NA
"Jake Neighbours",20212022,"STL","L","L",9,1,1,2,-2,2,0.22,1,2,0,0,0,0,0,1,8,12.5,"9:21",33.3
"Jack Quinn",20212022,"BUF","R","R",2,1,1,2,0,0,1,0,1,1,1,0,0,0,0,6,16.7,"14:53",NA
"Radim Zohorna",20212022,"PIT","L","L",6,1,1,2,4,0,0.33,1,2,0,0,0,0,0,0,4,25,"11:52",33.3
"Matt Kiersted",20212022,"FLA","L","D",8,1,1,2,-3,0,0.25,1,2,0,0,0,0,0,0,7,14.3,"13:02",NA
"Riley Nash",20212022,"WPG,TBL,ARI","R","C",38,0,2,2,-4,6,0.05,0,2,0,0,0,0,0,0,28,0,"11:15",53.8
"Mark Borowiecki",20212022,"NSH","L","D",38,0,2,2,2,88,0.05,0,2,0,0,0,0,0,0,28,0,"13:24",NA
"Matt Irwin",20212022,"WSH","L","D",13,0,2,2,-1,4,0.15,0,2,0,0,0,0,0,0,22,0,"13:18",NA
"Patrik Nemeth",20212022,"NYR","L","D",38,0,2,2,-12,12,0.05,0,2,0,0,0,0,0,0,33,0,"17:17",NA
"Tyler Pitlick",20212022,"CGY","R","C",25,0,2,2,-5,2,0.08,0,2,0,0,0,0,0,0,19,0,"11:41",25
"Cedric Paquette",20212022,"MTL","L","C",24,0,2,2,-6,25,0.08,0,2,0,0,0,0,0,0,16,0,"8:52",29.8
"Ryan Pulock",20212022,"NYI","R","D",14,0,2,2,-4,0,0.14,0,1,0,1,0,0,0,0,23,0,"20:24",NA
"Vladimir Tkachev",20212022,"LAK","R","L",4,0,2,2,-2,2,0.5,0,0,0,2,0,0,0,0,1,0,"13:59",50
"Lane Pederson",20212022,"SJS","R","C",23,0,2,2,-10,8,0.09,0,2,0,0,0,0,0,0,19,0,"10:31",44.3
"Andrew Poturalski",20212022,"CAR","R","C",2,0,2,2,-1,0,1,0,0,0,2,0,0,0,0,4,0,"10:09",42.9
"Juuso Valimaki",20212022,"CGY","L","D",8,0,2,2,1,10,0.25,0,2,0,0,0,0,0,0,11,0,"15:51",NA
"Jonah Gadjovich",20212022,"SJS","L","L",25,0,2,2,-7,50,0.08,0,2,0,0,0,0,0,0,15,0,"8:35",33.3
"Dylan Samberg",20212022,"WPG","L","D",6,0,2,2,-1,2,0.33,0,2,0,0,0,0,0,0,8,0,"14:00",NA
"Erik Brannstrom",20212022,"OTT","L","D",12,0,2,2,-6,8,0.17,0,1,0,1,0,0,0,0,21,0,"19:41",NA
"Calle Rosen",20212022,"STL","L","D",6,0,2,2,-1,2,0.33,0,2,0,0,0,0,0,0,5,0,"15:33",NA
"Sebastian Aho",20212022,"NYI","L","D",12,0,2,2,-6,0,0.17,0,1,0,1,0,0,0,0,17,0,"17:17",NA
"Sean Walker",20212022,"LAK","R","D",6,0,2,2,-1,4,0.33,0,1,0,1,0,0,0,0,18,0,"18:22",NA
"Austin Strand",20212022,"LAK","R","D",4,0,2,2,2,0,0.5,0,2,0,0,0,0,0,0,4,0,"15:49",NA
"Joe Snively",20212022,"WSH","L","C",4,0,2,2,3,0,0.5,0,2,0,0,0,0,0,0,5,0,"9:46",NA
"Alexander Holtz",20212022,"NJD","R","R",7,0,2,2,-3,2,0.29,0,1,0,1,0,0,0,0,11,0,"11:42",NA
"Mike Hardman",20212022,"CHI","L","L",21,0,2,2,-6,11,0.1,0,2,0,0,0,0,0,0,12,0,"9:18",50
"Nate Thompson",20212022,"PHI","L","C",19,1,0,1,-8,29,0.05,1,1,0,0,0,0,0,0,7,14.3,"11:39",50.4
"Blake Comeau",20212022,"DAL","R","L",6,1,0,1,-1,4,0.17,1,1,0,0,0,0,0,0,2,50,"11:28",100
"Jay Beagle",20212022,"ARI","R","C",21,1,0,1,-11,10,0.05,1,1,0,0,0,0,0,0,13,7.7,"14:02",61.7
"Jarred Tinordi",20212022,"NYR","L","D",7,1,0,1,-5,7,0.14,1,1,0,0,0,0,0,1,5,20,"12:55",NA
"Andy Andreoff",20212022,"NYI","L","C",5,1,0,1,-1,0,0.2,1,1,0,0,0,0,0,0,6,16.7,"9:52",66.7
"Martin Frk",20212022,"LAK","R","R",2,1,0,1,-1,0,0.5,0,0,1,1,0,0,0,0,7,14.3,"18:19",NA
"Jaycob Megna",20212022,"SJS","L","D",19,1,0,1,0,10,0.05,1,1,0,0,0,0,0,0,15,6.7,"18:02",NA
"Andrej Sustr",20212022,"TBL","R","D",13,1,0,1,-1,6,0.08,1,1,0,0,0,0,0,0,9,11.1,"10:39",NA
"Lukas Vejdemo",20212022,"MTL","L","C",6,1,0,1,-3,0,0.17,1,1,0,0,0,0,0,0,10,10,"10:38",41.9
"Ethan Prow",20212022,"BUF","R","D",4,1,0,1,-1,0,0.25,1,1,0,0,0,0,0,0,2,50,"12:44",NA
"Beck Malenstyn",20212022,"WSH","L","L",12,1,0,1,2,9,0.08,1,1,0,0,0,0,0,0,10,10,"9:03",14.3
"Kasper Bjorkqvist",20212022,"PIT","L","R",6,1,0,1,-1,2,0.17,1,1,0,0,0,0,0,0,8,12.5,"8:22",NA
"Garrett Pilon",20212022,"WSH","R","C",2,1,0,1,1,0,0.5,1,1,0,0,0,0,0,0,1,100,"9:25",44.4
"Gabriel Vilardi",20212022,"LAK","R","C",7,1,0,1,-5,2,0.14,0,0,1,1,0,0,0,0,7,14.3,"12:58",37.3
"Marian Studenic",20212022,"NJD","L","R",15,1,0,1,-4,0,0.07,1,1,0,0,0,0,0,0,19,5.3,"11:51",25
"Kristian Reichel",20212022,"WPG","R","C",5,1,0,1,-2,0,0.2,1,1,0,0,0,0,0,0,9,11.1,"8:37",NA
"Gabriel Fortier",20212022,"TBL","L","L",10,1,0,1,-2,4,0.1,1,1,0,0,0,0,0,0,14,7.1,"9:17",100
"Rafael Harvey-Pinard",20212022,"MTL","L","L",3,1,0,1,-2,0,0.33,1,1,0,0,0,0,0,0,4,25,"13:36",0
"Quinton Byfield",20212022,"LAK","L","C",7,1,0,1,-3,6,0.14,1,1,0,0,0,0,0,0,11,9.1,"11:35",46.7
"Hendrix Lapierre",20212022,"WSH","L","C",6,1,0,1,2,2,0.17,1,1,0,0,0,0,0,0,7,14.3,"9:35",26.1
"Jackson Cates",20212022,"PHI","L","C",9,1,0,1,-1,0,0.11,1,1,0,0,0,0,0,0,6,16.7,"9:39",65.5
"Travis Hamonic",20212022,"VAN","R","D",9,0,1,1,-1,2,0.11,0,1,0,0,0,0,0,0,13,0,"18:27",NA
"John Moore",20212022,"BOS","L","D",7,0,1,1,2,4,0.14,0,0,0,0,0,1,0,0,7,0,"17:34",NA
"Richard Panik",20212022,"NYI","L","R",4,0,1,1,-2,0,0.25,0,0,0,1,0,0,0,0,4,0,"14:55",50
"Matthew Peca",20212022,"STL","L","C",5,0,1,1,-1,0,0.2,0,1,0,0,0,0,0,0,3,0,"9:38",41.7
"Dmitrij Jaskin",20212022,"ARI","L","R",12,0,1,1,-6,4,0.08,0,1,0,0,0,0,0,0,23,0,"14:47",50
"Scott Harrington",20212022,"CBJ","L","D",7,0,1,1,-4,6,0.14,0,1,0,0,0,0,0,0,5,0,"14:28",NA
"Nathan Beaulieu",20212022,"WPG","L","D",19,0,1,1,-8,21,0.05,0,1,0,0,0,0,0,0,20,0,"10:05",NA
"Gemel Smith",20212022,"DET","L","C",1,0,1,1,0,5,1,0,1,0,0,0,0,0,0,0,NA,"5:53",25
"Ben Harpur",20212022,"NSH","L","D",9,0,1,1,-8,18,0.11,0,1,0,0,0,0,0,0,5,0,"13:42",NA
"Dylan Sikura",20212022,"COL","L","C",4,0,1,1,1,0,0.25,0,1,0,0,0,0,0,0,3,0,"11:07",NA
"Cooper Marody",20212022,"EDM","R","C",1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,"6:04",NA
"Jacob Larsson",20212022,"ANA","L","D",6,0,1,1,-3,2,0.17,0,1,0,0,0,0,0,0,5,0,"15:16",NA
"Markus Nutivaara",20212022,"FLA","L","D",1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,NA,"7:01",NA
"Jalen Chatfield",20212022,"CAR","R","D",7,0,1,1,1,0,0.14,0,1,0,0,0,0,0,0,10,0,"16:47",NA
"Kyle Criscuolo",20212022,"DET","R","C",2,0,1,1,0,0,0.5,0,1,0,0,0,0,0,0,1,0,"10:22",14.3
"Lucas Johansen",20212022,"WSH","L","D",1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,NA,"12:18",NA
"Libor Hajek",20212022,"NYR","L","D",14,0,1,1,-6,8,0.07,0,1,0,0,0,0,0,0,11,0,"13:29",NA
"Tyler Benson",20212022,"EDM","L","L",19,0,1,1,-4,6,0.05,0,1,0,0,0,0,0,0,13,0,"8:38",0
"Dennis Cholowski",20212022,"WSH","L","D",7,0,1,1,-4,2,0.14,0,1,0,0,0,0,0,0,3,0,"13:35",NA
"Jacob Moverare",20212022,"LAK","L","D",3,0,1,1,2,0,0.33,0,1,0,0,0,0,0,0,5,0,"17:31",NA
"Troy Stecher",20212022,"DET","R","D",6,0,1,1,1,2,0.17,0,1,0,0,0,0,0,0,5,0,"14:28",NA
"Michal Kempny",20212022,"WSH","L","D",7,0,1,1,-1,6,0.14,0,1,0,0,0,0,0,0,6,0,"19:15",NA
"Otto Koivula",20212022,"NYI","L","L",3,0,1,1,-1,0,0.33,0,1,0,0,0,0,0,0,4,0,"11:41",36.4
"Axel Jonsson-Fjallby",20212022,"WSH","L","L",9,0,1,1,1,2,0.11,0,1,0,0,0,0,0,0,9,0,"11:28",25
"Casey Fitzgerald",20212022,"BUF","R","D",7,0,1,1,-1,15,0.14,0,1,0,0,0,0,0,0,12,0,"16:07",NA
"Mathieu Olivier",20212022,"NSH","R","R",8,0,1,1,-2,12,0.13,0,1,0,0,0,0,0,0,3,0,"10:44",0
"Kole Lind",20212022,"SEA","R","R",4,0,1,1,-1,2,0.25,0,1,0,0,0,0,0,0,0,NA,"7:32",50
"Jack Studnicka",20212022,"BOS","R","C",5,0,1,1,-1,2,0.2,0,1,0,0,0,0,0,0,5,0,"11:54",50
"Ian Mitchell",20212022,"CHI","R","D",8,0,1,1,-3,0,0.13,0,0,0,1,0,0,0,0,2,0,"11:56",NA
"Lias Andersson",20212022,"LAK","L","C",13,0,1,1,-2,10,0.08,0,0,0,1,0,0,0,0,18,0,"11:07",57.9
"Morgan Barron",20212022,"NYR","L","C",9,0,1,1,0,4,0.11,0,1,0,0,0,0,0,0,5,0,"9:25",62.2
"Jayden Halbgewachs",20212022,"SJS","L","L",3,0,1,1,1,4,0.33,0,1,0,0,0,0,0,0,7,0,"13:06",NA
"Mark Kastelic",20212022,"OTT","R","C",4,0,1,1,-1,0,0.25,0,1,0,0,0,0,0,0,1,0,"9:02",75
"Jacob Bernard-Docker",20212022,"OTT","R","D",8,0,1,1,1,4,0.13,0,1,0,0,0,0,0,0,6,0,"14:46",NA
"Juuso Riikola",20212022,"PIT","L","D",5,0,1,1,2,2,0.2,0,1,0,0,0,0,0,0,7,0,"13:23",NA
"Josiah Slavin",20212022,"CHI","L","L",10,0,1,1,1,2,0.1,0,1,0,0,0,0,0,0,8,0,"11:05",41
"Corey Schueneman",20212022,"MTL","L","D",4,0,1,1,1,4,0.25,0,1,0,0,0,0,0,0,5,0,"14:44",NA
"Adam Beckman",20212022,"MIN","L","L",3,0,1,1,-1,2,0.33,0,1,0,0,0,0,0,0,4,0,"10:25",NA
"Mattias Norlinder",20212022,"MTL","L","D",6,0,1,1,2,2,0.17,0,1,0,0,0,0,0,0,2,0,"12:18",NA
"Shane Pinto",20212022,"OTT","R","C",5,0,1,1,0,2,0.2,0,0,0,1,0,0,0,0,5,0,"12:57",32.7
"Philip Broberg",20212022,"EDM","L","D",8,0,1,1,-8,6,0.13,0,1,0,0,0,0,0,0,9,0,"15:35",NA
"Santeri Hatakka",20212022,"SJS","L","D",7,0,1,1,-3,2,0.14,0,1,0,0,0,0,0,0,2,0,"13:07",NA
"Zac Jones",20212022,"NYR","L","D",6,0,1,1,-3,0,0.17,0,1,0,0,0,0,0,0,4,0,"13:56",NA
"Daniil Miromanov",20212022,"VGK","R","D",7,0,1,1,1,0,0.14,0,1,0,0,0,0,0,0,12,0,"10:05",NA
"Alex Steeves",20212022,"TOR","L","C",3,0,1,1,-1,0,0.33,0,1,0,0,0,0,0,0,2,0,"7:58",NA
"Alex Biega",20212022,"TOR","R","D",2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,"13:07",NA
"Leo Komarov",20212022,"NYI","L","R",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,"10:50",100
"Paul Byron",20212022,"MTL","L","L",1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,NA,"16:48",NA
"Thomas Hickey",20212022,"NYI","L","D",2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,NA,"19:29",NA
"Zac Dalpe",20212022,"FLA","R","C",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"6:08",25
"Michael Stone",20212022,"CGY","R","D",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,"16:32",NA
"Kevin Connauton",20212022,"FLA,PHI","L","D",23,0,0,0,3,2,0,0,0,0,0,0,0,0,0,19,0,"12:42",NA
"Andrew Agozzino",20212022,"OTT","L","L",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"6:52",33.3
"Brett Connolly",20212022,"CHI","R","R",7,0,0,0,-3,15,0,0,0,0,0,0,0,0,0,5,0,"8:33",NA
"Alex Belzile",20212022,"MTL","R","R",11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,"10:24",36.8
"Max McCormick",20212022,"SEA","L","L",10,0,0,0,1,10,0,0,0,0,0,0,0,0,0,8,0,"8:06",50
"Fredrik Claesson",20212022,"TBL","L","D",9,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,4,0,"9:52",NA
